Date,Fioul,Charbon,Gaz,NuclÈaire,Solaire,Eolien,Hydraulique,Production,Consommation
2024-06-01,124.05208333333333,0.0,429.375,32622.21875,2637.7708333333335,5736.03125,8607.427083333334,50156.87500000001,39119.822916666664
2024-06-02,265.9895833333333,0.0,449.1458333333333,32381.479166666668,2392.1979166666665,4621.427083333333,8119.09375,48229.333333333336,37930.6875
2024-06-03,398.4583333333333,0.0,471.8125,38546.53125,4403.270833333333,2135.9583333333335,8946.822916666666,54902.85416666667,43150.53125
2024-06-04,207.71875,0.0,467.34375,38102.614583333336,4648.885416666667,2134.4166666666665,9326.25,54887.229166666664,42921.427083333336
2024-06-05,115.15625,0.0,485.40625,37753.822916666664,4441.46875,2182.9375,9095.302083333334,54074.09375,42849.552083333336
2024-06-06,169.88541666666666,0.0,476.5416666666667,39420.625,4615.71875,1733.4479166666667,9286.78125,55703.0,43108.0625
2024-06-07,178.75,0.0,522.6666666666666,39701.291666666664,4142.46875,1605.5625,9705.510416666666,55856.24999999999,42533.71875
2024-06-08,165.0625,0.0,451.1354166666667,34001.114583333336,2941.3645833333335,2295.1145833333335,8787.03125,48640.82291666667,37949.28125
2024-06-09,123.72916666666667,0.0,437.0208333333333,30279.239583333332,2755.90625,3119.6666666666665,8114.552083333333,44830.11458333333,36439.833333333336
2024-06-10,123.71875,0.0,637.0416666666666,34880.052083333336,4350.104166666667,5877.072916666667,8759.625,54627.61458333333,41593.40625
2024-06-11,198.42708333333334,0.0,474.7395833333333,38408.0,4172.166666666667,2437.90625,9061.739583333334,54752.979166666664,42787.104166666664
2024-06-12,164.08333333333334,0.0,483.0208333333333,39064.239583333336,4477.5625,1880.71875,9109.979166666666,55179.604166666664,43074.71875
2024-06-13,123.85416666666667,0.0,454.0416666666667,37931.302083333336,4951.166666666667,3194.6770833333335,9572.072916666666,56227.114583333336,42755.916666666664
2024-06-14,219.02083333333334,0.0,451.8645833333333,35750.708333333336,2709.8645833333335,7669.541666666667,8903.270833333334,55704.270833333336,42086.104166666664
2024-06-15,148.39583333333334,0.0,444.78125,29188.25,2921.4479166666665,9305.541666666666,8391.8125,50400.229166666664,37998.78125
2024-06-16,123.67708333333333,0.0,458.3020833333333,30792.958333333332,3311.6354166666665,4833.760416666667,8560.697916666666,48081.03124999999,36602.614583333336
2024-06-17,248.25,0.0,470.9375,38546.395833333336,3935.40625,2261.7916666666665,9168.572916666666,54631.354166666664,42483.833333333336
2024-06-18,91.13541666666667,0.0,376.0729166666667,39238.40625,3575.03125,2775.9166666666665,9166.3125,55222.875,42975.739583333336
2024-06-19,105.42708333333333,0.0,515.03125,38389.96875,3426.8229166666665,4802.5625,9013.385416666666,56253.197916666664,43163.4375
2024-06-20,123.83333333333333,0.0,1083.2708333333333,38537.6875,2214.3020833333335,3326.4791666666665,8886.8125,54172.385416666664,43895.416666666664
2024-06-21,127.98958333333333,0.0,1325.9166666666667,38392.177083333336,3535.5833333333335,3252.9895833333335,8642.15625,55276.81250000001,42816.395833333336
2024-06-22,141.1875,0.0,473.0,33228.510416666664,2972.6666666666665,4400.645833333333,8224.927083333334,49440.9375,37931.864583333336
2024-06-23,123.58333333333333,0.0,430.7083333333333,33260.0625,3478.9166666666665,2009.7604166666667,8194.65625,47497.68749999999,36675.572916666664
2024-06-24,123.6923076923077,0.0,434.73846153846154,38162.81538461539,5726.015384615384,2387.4461538461537,8293.153846153846,55127.86153846154,41521.415384615386
